OBJECTID,PRIME,SOURCE,SACC,SDATE,DIVISION,FDMID,ADDDATE,MODDATE,Shape__Area,Shape__Length
50579,20,HRFE,Interactive,2011-11-22T00:00:00.000Z,5,200D,,2019-10-29T12:46:04.000Z,103969828.316406,45759.9750696971
50580,17,HRFE,Interactive,2011-11-22T00:00:00.000Z,3,173C,,2019-10-29T12:46:04.000Z,20373737.0039063,18726.1715669424
50581,39,HRFE,Interactive,2011-11-22T00:00:00.000Z,4,390D,,2019-10-29T12:46:04.000Z,1380554484,167848.050238422
50582,29,HRFE,Interactive,2011-11-22T00:00:00.000Z,6,290D,,2019-10-29T12:46:04.000Z,263774579.617188,100619.847221993
50583,14,HRFE,Interactive,2011-11-22T00:00:00.000Z,3,14A,,2019-10-29T12:46:04.000Z,27976697.84375,32253.4980659655
50584,43,HRFE,Interactive,2011-11-22T00:00:00.000Z,4,430D,,2019-10-29T12:46:04.000Z,49766760.0976563,35686.2961723877
50585,22,HRFE,Interactive,2011-11-22T00:00:00.000Z,5,220B,,2019-10-29T12:46:04.000Z,46414189.5039063,35057.5687398614
50586,10,HRFE,Interactive,2011-11-22T00:00:00.000Z,3,101C,,2019-10-29T12:46:04.000Z,33904302.3867188,52725.9194124703
50587,05,HRFE,Interactive,2011-11-22T00:00:00.000Z,2,51A,,2019-10-29T12:46:04.000Z,6710475.28515625,15581.2012600553
50588,09,HRFE,Interactive,2015-07-28T00:00:00.000Z,3,98C,,2019-10-29T12:46:04.000Z,614466.01953125,3634.58662574718
50589,08,HRFE,Interactive,2011-11-22T00:00:00.000Z,2,8A,,2019-10-29T12:46:04.000Z,16739884.1210938,31270.426357433
50590,45,HRFE,Interactive,2011-11-22T00:00:00.000Z,4,455B,,2019-10-29T12:46:04.000Z,4109025.4296875,21389.0833471354
50591,45,HRFE,Interactive,2011-11-22T00:00:00.000Z,4,456D,,2019-10-29T12:46:04.000Z,2252538.48828125,8045.24368795209
50592,12,HRFE,Interactive,2013-02-12T00:00:00.000Z,3,125H,,2019-10-29T12:46:04.000Z,4365453.40625,32827.9827815187
50593,45,HRFE,Interactive,2011-11-22T00:00:00.000Z,4,450D,,2019-10-29T12:46:04.000Z,36436795.5546875,45536.8885354956
50594,56,HRFE,Interactive,2017-08-24T00:00:00.000Z,1,561H,,2019-10-29T12:46:04.000Z,2116603.43359375,30380.8361101511
50595,56,HRFE,Interactive,2011-11-22T00:00:00.000Z,1,562D,,2019-10-29T12:46:04.000Z,32964498.6757813,39626.9319078484
50596,56,HRFE,Interactive,2011-11-22T00:00:00.000Z,1,560D,,2019-10-29T12:46:04.000Z,508634184.5,146410.91761846
50597,65,HRFE,Interactive,2011-11-22T00:00:00.000Z,1,650D,,2019-10-29T12:46:04.000Z,184803708.003906,106093.434581609
50598,40,HRFE,Interactive,2011-11-22T00:00:00.000Z,4,400D,,2019-10-29T12:46:04.000Z,66729779.453125,37364.770952092
50599,EN,HRFE,Interactive,2011-11-22T00:00:00.000Z,0,708E,,2019-10-29T12:46:04.000Z,8051290.53515625,15147.3840507117
50600,40,HRFE,Interactive,2011-11-22T00:00:00.000Z,4,403D,,2019-10-29T12:46:04.000Z,30645283.4453125,28174.524239
50601,18,HRFE,Interactive,2011-11-22T00:00:00.000Z,3,183A,,2019-10-29T12:46:04.000Z,4085694.03125,15151.0300828816
50602,18,HRFE,Interactive,2011-11-22T00:00:00.000Z,3,181A,,2019-10-29T12:46:04.000Z,3101441.2890625,9168.79168277694
50603,15,HRFE,Interactive,2011-11-22T00:00:00.000Z,3,15A,,2019-10-29T12:46:04.000Z,19142243.5625,31157.0552700104
50604,15,HRFE,Interactive,2015-07-28T00:00:00.000Z,3,151C,,2019-10-29T12:46:04.000Z,132538.765625,1716.26403045103
50605,16,HRFE,Interactive,2011-11-22T00:00:00.000Z,3,16A,,2019-10-29T12:46:04.000Z,81863077.4023438,48104.9945141169
50606,16,HRFE,Interactive,2011-11-22T00:00:00.000Z,3,161C,,2019-10-29T12:46:04.000Z,39169612.6054688,28943.1989942684
50607,40,HRFE,Interactive,2011-11-22T00:00:00.000Z,4,401D,,2019-10-29T12:46:04.000Z,77694655.6757813,52698.8714648003
50608,14,HRFE,Interactive,2013-04-24T00:00:00.000Z,3,145A,,2019-10-29T12:46:04.000Z,1107488.02734375,5075.77305459126
50609,09,HRFE,Interactive,2011-11-22T00:00:00.000Z,3,9A,,2019-10-29T12:46:04.000Z,35338386.1796875,44028.0244866026
50610,08,HRFE,Interactive,2011-11-22T00:00:00.000Z,2,85A,,2019-10-29T12:46:04.000Z,21137473.9453125,36083.7459537533
50611,18,HRFE,Interactive,2011-11-22T00:00:00.000Z,3,182C,,2019-10-29T12:46:04.000Z,32964532.25,39139.4864907588
50612,18,HRFE,Interactive,2011-11-22T00:00:00.000Z,3,185C,,2019-10-29T12:46:04.000Z,1687956.0234375,6932.70325187692
50613,MI,HRFE,Interactive,2016-10-22T00:00:00.000Z,4,704E,,2019-10-29T12:46:04.000Z,18517436.5195313,21445.6477129132
50614,65,HRFE,Interactive,2011-11-22T00:00:00.000Z,1,655H,,2019-10-29T12:46:04.000Z,1733855.3671875,26376.3825888151
50615,45,HRFE,Interactive,2015-10-22T00:00:00.000Z,4,453H,,2019-10-29T12:46:04.000Z,700535.24609375,10076.1698076734
50616,10,HRFE,Interactive,2011-11-22T00:00:00.000Z,3,102C,,2019-10-29T12:46:04.000Z,589365.41796875,4108.39157751798
50617,06,HRFE,Interactive,2011-11-22T00:00:00.000Z,2,6A,,2019-10-29T12:46:04.000Z,48148184.2695313,38582.0035830005
50618,06,HRFE,Interactive,2011-11-22T00:00:00.000Z,2,62C,,2019-10-29T12:46:04.000Z,7493986.18359375,14494.3063481216
50619,03,HRFE,Interactive,2011-11-22T00:00:00.000Z,0,1A,,2019-10-29T12:46:04.000Z,40684319.6835938,78825.001787695
50620,10,HRFE,Interactive,2011-11-22T00:00:00.000Z,3,10A,,2019-10-29T12:46:04.000Z,19700882.3398438,52648.7880602803
50621,50,HRFE,Interactive,2011-11-22T00:00:00.000Z,1,500D,,2019-10-29T12:46:04.000Z,42064623.3710938,39826.3912708875
50622,50,HRFE,Interactive,2011-11-22T00:00:00.000Z,1,503D,,2019-10-29T12:46:04.000Z,135885569.164063,77282.3805031802
50623,10,HRFE,Interactive,2011-11-22T00:00:00.000Z,3,103C,,2019-10-29T12:46:04.000Z,14653679.2460938,28845.0037384902
