YEAR,INCIDENTS,RATES,id,Region Id
12/31/2011 0:00,0,0,6,2
12/31/2015 0:00,0,0,15,1
12/31/2013 0:00,0,0,13,3
12/31/2016 0:00,0,0,6,3
12/31/2017 0:00,0,0,1,1
12/31/2010 0:00,0,0,5,1
12/31/2016 0:00,0,0,5,3
12/31/2014 0:00,0,0,1,3
12/31/2015 0:00,0,0,11,3
12/31/2013 0:00,1320,321.88,7,4
12/31/2015 0:00,0,0,1,1
12/31/2017 0:00,140,32.43,8,4
12/31/2013 0:00,0,0,7,3
12/31/2015 0:00,0,0,13,1
12/31/2015 0:00,0,0,7,2
12/31/2016 0:00,0,0,13,3
12/31/2016 0:00,1559,366.85,1,4
12/31/2016 0:00,0,0,11,1
12/31/2010 0:00,0,0,6,1
12/31/2012 0:00,0,0,6,1
12/31/2012 0:00,0,0,6,1
12/31/2016 0:00,381,89.65,13,4
12/31/2015 0:00,422,101.23,1,4
12/31/2016 0:00,0,0,11,2
12/31/2010 0:00,0,0,14,3
12/31/2017 0:00,932,215.88,11,4
12/31/2013 0:00,76,18.53,15,4
12/31/2012 0:00,112,27.53,9,4
12/31/2010 0:00,52,13.06,1,4
12/31/2013 0:00,0,0,13,1
12/31/2017 0:00,0,0,5,3
12/31/2015 0:00,0,0,10,2
12/31/2017 0:00,0,0,12,2
12/31/2014 0:00,305,73.74,6,4
12/31/2011 0:00,0,0,8,2
12/31/2011 0:00,0,0,1,1
12/31/2015 0:00,0,0,14,2
12/31/2013 0:00,778,189.71,5,4
12/31/2014 0:00,1338,323.5,10,4
12/31/2017 0:00,0,0,3,3
12/31/2015 0:00,0,0,14,3
12/31/2011 0:00,0,0,13,1
12/31/2011 0:00,723,179.65,1,4
12/31/2010 0:00,0,0,10,1
12/31/2011 0:00,0,0,6,1
12/31/2013 0:00,0,0,3,2
12/31/2010 0:00,0,0,9,1
12/31/2013 0:00,301,73.4,6,4
12/31/2011 0:00,0,0,10,2
12/31/2016 0:00,0,0,11,3
12/31/2014 0:00,0,0,9,3
12/31/2015 0:00,19,4.56,3,4
12/31/2014 0:00,0,0,1,1
12/31/2012 0:00,0,0,13,1
12/31/2010 0:00,0,0,15,1
12/31/2011 0:00,386,95.91,13,4
12/31/2015 0:00,82,19.67,5,4
12/31/2010 0:00,0,0,6,2
12/31/2011 0:00,0,0,13,3
12/31/2011 0:00,0,0,13,3
12/31/2016 0:00,78,18.35,5,4
12/31/2010 0:00,21,5.27,3,4
12/31/2012 0:00,26,6.39,1,4
12/31/2015 0:00,0,0,12,1
12/31/2012 0:00,0,0,7,1
12/31/2014 0:00,0,0,9,2
12/31/2014 0:00,0,0,6,1
12/31/2015 0:00,0,0,8,1
12/31/2013 0:00,0,0,7,1
12/31/2017 0:00,0,0,10,3
12/31/2016 0:00,2,0.47,6,4
12/31/2015 0:00,89,21.35,15,4
12/31/2016 0:00,0,0,5,3
12/31/2015 0:00,0,0,3,3
12/31/2011 0:00,1,0,10,3
12/31/2012 0:00,0,0,1,1
12/31/2011 0:00,0,0,6,3
12/31/2015 0:00,0,0,3,1
12/31/2012 0:00,36,8.85,12,4
12/31/2014 0:00,0,0,6,3
12/31/2010 0:00,0,0,7,1
12/31/2012 0:00,0,0,5,2
12/31/2015 0:00,0,0,6,2
12/31/2015 0:00,0,0,6,3
12/31/2010 0:00,0,0,14,2
12/31/2013 0:00,0,0,10,2
12/31/2013 0:00,4,0.98,6,4
12/31/2014 0:00,0,0,15,2
12/31/2013 0:00,0,0,6,3
12/31/2012 0:00,0,0,14,3
12/31/2013 0:00,0,0,14,2
12/31/2015 0:00,69,16.55,14,4
12/31/2010 0:00,0,0,13,3
12/31/2014 0:00,0,0,6,2
12/31/2014 0:00,0,0,5,2
12/31/2017 0:00,0,0,13,1
12/31/2012 0:00,0,0,1,1
12/31/2014 0:00,462,111.7,1,4
12/31/2016 0:00,0,0,12,1
12/31/2011 0:00,0,0,9,2
12/31/2013 0:00,0,0,6,1
12/31/2011 0:00,0,0,9,1
12/31/2014 0:00,0,0,13,3
12/31/2013 0:00,0,0,7,2
12/31/2017 0:00,0,0,1,2
12/31/2011 0:00,0,0,5,3
12/31/2012 0:00,1402,344.65,10,4
12/31/2011 0:00,1913,475.35,7,4
12/31/2017 0:00,404,93.58,6,4
12/31/2013 0:00,0,0,3,1
12/31/2012 0:00,4,0.98,6,4
12/31/2010 0:00,1374,345.01,10,4
12/31/2012 0:00,0,0,9,1
12/31/2015 0:00,0,0,1,3
12/31/2010 0:00,0,0,1,3
12/31/2015 0:00,0,0,13,3
12/31/2016 0:00,34,8,1,4
12/31/2017 0:00,0,0,10,2
12/31/2017 0:00,0,0,6,1
12/31/2012 0:00,0,0,6,3
12/31/2010 0:00,0,0,5,3
12/31/2012 0:00,0,0,1,2
