OBJECTID,BUSSTOPID,STOPNUMBER,LTAR,LOCATION,FCODE,ADDDATE,MODDATE
1701,BS2333,6511,Yes,Cow Bay Rd Before Briarwood Dr (6511),Conventional Transit Bus Stop,2016-07-29T00:00:00.000Z,2018-11-01T00:00:00.000Z
1702,BS836,6976,Yes,James St At Civic 30 (6976),Conventional Transit Bus Stop,2016-07-29T00:00:00.000Z,2018-11-01T00:00:00.000Z
1703,BS1768,8660,Yes,Hornes Rd At Civic 65 (8660),Conventional Transit Bus Stop,2016-07-29T00:00:00.000Z,2018-11-01T00:00:00.000Z
1704,BS1225,7114,Yes,Lake Major Rd Before Old German Rd (7114),Conventional Transit Bus Stop,2016-07-29T00:00:00.000Z,2018-11-08T00:00:00.000Z
1705,BS1769,8661,Yes,Hornes Rd At Civic 41 (8661),Conventional Transit Bus Stop,2016-07-29T00:00:00.000Z,2018-11-01T00:00:00.000Z
1706,BS487,7109,Yes,Lake Major Rd After Old German Rd (7109),Conventional Transit Bus Stop,2016-07-29T00:00:00.000Z,2018-11-08T00:00:00.000Z
1707,BS931,6937,Yes,Hillsboro Dr After Karen Dr (6937),Conventional Transit Bus Stop,2016-07-29T00:00:00.000Z,2018-11-01T00:00:00.000Z
1708,BS1770,8662,Yes,Hornes Rd After Scott Dr (8662),Conventional Transit Bus Stop,2016-07-29T00:00:00.000Z,2018-11-01T00:00:00.000Z
1709,BS2355,6988,Yes,Joseph Zatzman Dr After Simmonds Dr (6988),Conventional Transit Bus Stop,2016-07-29T00:00:00.000Z,2018-11-01T00:00:00.000Z
1710,BS488,7110,Yes,Lake Major Rd After Old German Rd (7110),Conventional Transit Bus Stop,2016-07-29T00:00:00.000Z,2018-03-29T00:00:00.000Z
1711,BS2354,6987,Yes,Joseph Zatzman Dr After Akerley Blvd (6987),Conventional Transit Bus Stop,2016-07-29T00:00:00.000Z,2018-11-01T00:00:00.000Z
1712,BS816,7111,Yes,Lake Major Rd Before Reddy Dr (7111),Conventional Transit Bus Stop,2016-07-29T00:00:00.000Z,2018-11-01T00:00:00.000Z
1713,BS998,7115,Yes,Lake Major Rd After Reddy Dr (7115),Conventional Transit Bus Stop,2016-07-29T00:00:00.000Z,2018-11-01T00:00:00.000Z
1714,BS1749,8490,Yes,Willett St After Coronation Ave (8490),Conventional Transit Bus Stop,2016-07-29T00:00:00.000Z,2018-03-29T00:00:00.000Z
1715,BS1457,7166,Yes,Main Ave After Titus St (7166),Conventional Transit Bus Stop,2016-07-29T00:00:00.000Z,2018-10-16T00:00:00.000Z
1716,BS58,8722,Yes,Beaver Bank Rd After Rosley Rd (8722),Conventional Transit Bus Stop,2016-07-29T00:00:00.000Z,2019-11-25T00:00:00.000Z
1717,BS57,8721,Yes,Beaver Bank Rd Before Pinehurst Way (8721),Conventional Transit Bus Stop,2016-07-29T00:00:00.000Z,2019-11-25T00:00:00.000Z
1718,BS338,8748,Yes,Beaver Bank Rd Before Guptill Cl (8748),Conventional Transit Bus Stop,2016-07-29T00:00:00.000Z,2019-11-25T00:00:00.000Z
