CIV_POSTAL,CIV_ID,STR_CODE,GSA_NAME
B2W 0A5,135458,16388,DARTMOUTH
B3A 3X9,54898,6009,DARTMOUTH
B3L 3E5,74493,674,HALIFAX
,79570,395,HALIFAX
B3L 1K6,70952,877,HALIFAX
B3A 2J2,50332,6095,DARTMOUTH
B3L 2V1,71026,619,HALIFAX
B3N 2N1,18418,215,HALIFAX
B2Y 3S4,68576,6533,DARTMOUTH
B3J 1Z6,73720,59,HALIFAX
B3L 1B3,75432,675,HALIFAX
B3K 5B7,71339,877,HALIFAX
B2Y 3C6,57041,6372,DARTMOUTH
B3K 2R1,57962,349,HALIFAX
B2X 2C6,106878,6694,DARTMOUTH
B3B 1E5,47543,6462,DARTMOUTH
B3B 1E3,47597,6240,DARTMOUTH
B3K 1H2,68664,380,HALIFAX
B3L 2B3,69140,63,HALIFAX
B3K 1H1,69189,889,HALIFAX
,58897,6678,DARTMOUTH
B3K 2T3,58918,476,HALIFAX
B3A 3J2,54352,6675,DARTMOUTH
B2Y 3G5,54432,6122,DARTMOUTH
B3K 2H9,62897,557,HALIFAX
B3K 4S6,62123,701,HALIFAX
B3A 3A1,59079,6236,DARTMOUTH
B2Y 3V7,60684,6573,DARTMOUTH
B3L 1K2,71725,275,HALIFAX
B3L 1Z5,68807,211,HALIFAX
B3S 1H4,13009,1143,HALIFAX
B3H 1S3,77766,815,HALIFAX
B3S 1H9,13060,15334,HALIFAX
B3M 4H6,12229,1045,HALIFAX
B3K 2Z6,65942,140,HALIFAX
B3K 3K2,59746,59,HALIFAX
B3K 5K4,58131,152,HALIFAX
B2Y 2C6,61552,6304,DARTMOUTH
B3A 2K2,50214,6121,DARTMOUTH
B2W 3Z4,112040,6634,DARTMOUTH
B3K 3K5,60235,59,HALIFAX
B3J 1A3,77385,765,HALIFAX
B3R 1K3,24731,49,HALIFAX
B3R 1N4,24852,477,HALIFAX
B3R 2G7,25067,370,HALIFAX
B3H 0A6,76985,770,HALIFAX
B3M 4V8,121647,15686,HALIFAX
B3R 1V2,87223,696,HALIFAX
B3S 1E5,14527,1084,HALIFAX
B3M 3M3,13663,161,HALIFAX
B3A 3T3,52021,6466,DARTMOUTH
B2W 2G9,50582,6712,DARTMOUTH
B3R 2M7,86643,1057,HALIFAX
B3H 4G8,77743,668,HALIFAX
B2Y 2E5,61737,6500,DARTMOUTH
B3H 1P2,80433,604,HALIFAX
B3M 3Y6,10625,982,HALIFAX
,147279,6206,DARTMOUTH
B3S 1E2,10870,1078,HALIFAX
