OBJECTID,PARK_ID,OWNER,HRMINTRST,HECTARES,NAMESTATUS,NAMEAPRDTE,PARK_MAINT,GROUP_ID,ADDDATE,MODDATE,SDATE,SOURCE,SACC,GLOBALID,PARK_NAME,PARK_TYPE,DEVELOPED,CIVIC_ID,Shape__Area,Shape__Length
572,5066,Halifax,Yes,0.7,N,,HRM,1915,2019-02-08T21:05:13.000Z,2018-01-22T19:23:02.000Z,2007-11-06T13:52:43.000Z,Asset Management Project,,7b235a44-1649-4d5b-b34a-3ebaa87acd90,LACEWOOD DRIVE PARK,Neighbourhood,No,147289,13856.35938,723.9096927
573,176,Halifax,Yes,0.21,N,,HRM,176,2019-02-08T21:05:13.000Z,2018-01-22T19:23:03.000Z,2009-11-23T00:00:00.000Z,Asset Management Project,,00a20e6e-f37a-4d67-b4b9-dc0b5facaf2f,CEDAR CRESCENT PARK,Neighbourhood,Yes,118740,4145.71875,303.2998728
574,396,Halifax,Yes,0.1,N,,HRM,396,2019-02-08T21:05:13.000Z,2018-01-22T19:23:05.000Z,2009-11-24T00:00:00.000Z,Asset Management Project,,2da49d4a-7bf9-4260-ac70-18f7240057c9,HOLLYOAKE LANE PARK,Neighbourhood,Yes,146772,2026.507813,184.8741379
575,398,Halifax,Yes,0.05,N,,HRM,398,2019-02-08T21:05:13.000Z,2018-01-22T19:23:02.000Z,2009-11-24T00:00:00.000Z,Asset Management Project,,3240bfb2-738d-4728-bdd2-ed84cff9e0ee,MONTAGUE ESTATES PARK,Neighbourhood,Yes,106316,984.546875,133.9814087
576,405,Halifax,Yes,0.03,A,,HRM,405,2019-02-08T21:05:13.000Z,2018-01-22T19:23:03.000Z,2009-03-17T00:00:00.000Z,Asset Management Project,,9396932a-0456-4349-a9ad-51adc8f464f3,CHEBUCTO CONNAUGHT PARKETTE,Community,Yes,147323,590.3007813,118.0710081
577,503,Halifax,Yes,0.53,N,,HRM,503,2019-02-08T21:05:13.000Z,2018-01-22T19:23:03.000Z,2008-12-16T00:00:00.000Z,Field Work Operations,,39b8a3df-aeb8-4ca4-bf76-42bf6c7c04b9,LAURA DRIVE PARK,Neighbourhood,Yes,120230,10491.37109,418.8117003
578,511,Halifax,Yes,0.39,N,,HRM,511,2019-02-08T21:05:13.000Z,2018-01-22T19:23:05.000Z,2009-08-24T00:00:00.000Z,Asset Management Project,,a8467aef-7873-4b3e-8fa9-2cc9b5d4af14,ROBERTSON PARK,Neighbourhood,Yes,131325,7817.367188,375.4212068
579,165,Halifax,Yes,0.09,N,,,165,2019-02-08T21:05:13.000Z,2018-01-22T19:23:04.000Z,,,,245ac35a-0985-4af4-921a-44bcb986c72a,HIGH STREET PARK,Neighbourhood,Yes,73027,1701.222656,199.6855973
580,513,Halifax,Yes,1.41,N,,UN,513,2019-02-08T21:05:13.000Z,2018-01-22T19:23:03.000Z,2009-07-27T00:00:00.000Z,Asset Management Project,,1025fabc-efe0-4c71-b937-53812a6bff4f,FARRELL STREET PARK,Community,Yes,127076,27980.74219,1169.069488
581,519,Halifax,Yes,0.28,N,,HRM,519,2019-02-08T21:05:13.000Z,2018-01-22T19:23:04.000Z,2009-05-05T00:00:00.000Z,Asset Management Project,,824eae3a-6e90-496b-b3c9-4928ca68c614,SEAVIEW COMMUNITY PARK,Community,Yes,147418,5462.203125,317.6162026
