OBJECTID,ROUTE_NUM,CLASS,TITLE,SOURCE,SACC,SDATE,DATE_ACT,DATE_REV,Shape__Length
36,415,PEAK,PURCELLS COVE,TRANSIT,IN,2019-11-25T00:00:00.000Z,2019-11-25T00:00:00.000Z,,14827.36404
37,66,SATURDAY,PENHORN,TRANSIT,IN,2019-11-25T00:00:00.000Z,2019-11-25T00:00:00.000Z,,17877.31503
38,85,WEEKDAY REGULAR,MILLWOOD,TRANSIT,IN,2019-11-25T00:00:00.000Z,2019-11-25T00:00:00.000Z,,11504.96171
39,83,SATURDAY,SPRINGFIELD,TRANSIT,IN,2019-11-25T00:00:00.000Z,2019-11-25T00:00:00.000Z,,11040.02768
40,86,WEEKDAY REGULAR,BEAVER BANK,TRANSIT,IN,2019-11-25T00:00:00.000Z,2019-11-25T00:00:00.000Z,,15222.11516
41,88,WEEKDAY REGULAR,BEDFORD COMMONS,TRANSIT,IN,2019-11-25T00:00:00.000Z,2019-11-25T00:00:00.000Z,,13108.24382
42,330,PEAK,TANTALLON - SHELDRAKE LAKE METROX,TRANSIT,IN,2009-08-30T00:00:00.000Z,2009-08-30T00:00:00.000Z,2019-11-25T00:00:00.000Z,84540.75665
43,88,SATURDAY,BEDFORD COMMONS,TRANSIT,IN,2019-11-25T00:00:00.000Z,2019-11-25T00:00:00.000Z,,13108.24382
44,320,BASE,AIRPORT - FALL RIVER METROX,TRANSIT,IN,2012-05-21T00:00:00.000Z,2012-05-21T00:00:00.000Z,2019-11-25T00:00:00.000Z,87626.91342
45,82,SUNDAY,FIRST LAKE,TRANSIT,IN,2019-11-25T00:00:00.000Z,2019-11-25T00:00:00.000Z,,16744.3461
46,182,PEAK,FIRST LAKE EXPRESS,TRANSIT,IN,2019-11-25T00:00:00.000Z,2019-11-25T00:00:00.000Z,,56628.11509
47,90,SUNDAY,LARRY UTECK,TRANSIT,IN,2019-11-25T00:00:00.000Z,2019-11-25T00:00:00.000Z,,38040.0158
48,186,PEAK,BEAVER BANK EXPRESS,TRANSIT,IN,2019-11-25T00:00:00.000Z,2019-11-25T00:00:00.000Z,,69058.96989
