FULL_NAME,STR_TYPE,STR_CODE_L,Shape__Length
NABOB CRT,CRT,16618,57.54688605
BRITTANY MURPHY TERR,TERR,15663,698.820846
SHAW COVE RD,RD,15665,1258.615044
RASPBERRY LANE,LANE,15666,350.1021353
TINA CRT,CRT,15667,531.3518227
JABARU LANE,LANE,15669,136.2821219
CURTO CRT,CRT,15671,672.6804796
SHEPPARDS RUN,RUN,15464,1518.741562
STONE HILL PL,PL,15465,182.3371596
LANSING CRT,CRT,16538,251.008614
SABLE RD,RD,15690,235.3051759
COLDSTREAM RUN,RUN,16389,177.3884505
SHEEBA DR,DR,16390,995.0717
GLASGOW RD,RD,7617,1347.902923
GLENDALE DR,DR,7621,477.1359083
KINGSMERE PL,PL,7934,163.8458162
KINGSWAY DR,DR,7935,609.6266704
KINGSWAY RD,RD,7936,577.2477418
SOONUL LANE,LANE,8745,2104.440105
SOUTH RD,RD,8748,4389.986683
SOUTH SHORE RD,RD,8750,3657.537487
CATELINA CRT,CRT,6118,327.5346129
CHURCHILL CRT,CRT,6137,194.7628717
ROLEIKA DR,DR,6138,876.9776045
LAWRENCE PL,PL,8004,266.759411
NEWCOMBES LANE,LANE,8291,482.9200759
NEWPORT DR,DR,8292,793.5439454
NICHOLAS DR,DR,8293,384.1011523
NICHOLSON DR,DR,8294,281.8220095
NICOLE CRT,CRT,8296,213.3182932
OPAL CRT,CRT,16516,97.5934137
LOMBARDY LANE,LANE,6401,277.0931154
VIRGINIA AVE,AVE,6681,745.1555527
BELMONT AVE,AVE,7080,242.507847
BELMORE DR,DR,7081,1004.298521
WESTFIELD CRES,CRES,15438,592.0707022
MORRIS LAKE DR,DR,15439,239.0593245
SOUTHAMPTON DR,DR,15440,711.1732525
CARLSON CRT,CRT,6111,359.7787621
LANARKSHIRE CRT,CRT,7989,223.561892
RIVENDALE DR,DR,8539,1876.100492
RIVER CRT,CRT,8540,1145.039396
RIVER RD,RD,8543,298.7591396
RIVER RD,RD,8544,535.77514
RIVERBEND RD,RD,8545,692.0291
UNDER REVIEW  319 UN,UN,99999,385.1436319
UNDER REVIEW  320 UN,UN,99999,58.5332026
UNDER REVIEW  322 UN,UN,99999,207.3194405
UNDER REVIEW  323 UN,UN,99999,163.375614
UNDER REVIEW  324 UN,UN,99999,498.1644451
UNDER REVIEW  325 UN,UN,99999,205.3532456
UNDER REVIEW  326 UN,UN,99999,383.1953933
UNDER REVIEW  327 UN,UN,99999,157.7116392
UNDER REVIEW  329 UN,UN,99999,218.0707577
CLOWES LANE,LANE,16447,208.6010902
VIOLETTE CRT,CRT,16448,140.2516608
IRIS AVE,AVE,7823,432.7171363
ISELEY LANE,LANE,7827,332.1999863
ISLAND VIEW DR,DR,7828,444.2979621
ISNOR POINT RD,RD,7829,568.3491302
COMMODORE RD,RD,7319,212.8536961
CONCORD AVE,AVE,7320,1142.969506
CONRAD LANE,LANE,7323,284.9121953
MONTEBELLO DR,DR,6458,1262.531534
MONTROSE CRES,CRES,6459,145.8162948
KNOWLES CRES,CRES,7944,1041.103954
LADYSLIPPER CRES,CRES,7949,810.929824
LAHEY DR,DR,7951,448.595043
LAKE PL,PL,7952,256.196601
LAKE RD,RD,7954,347.814328
MONARCH DR,DR,8235,1725.631451
HIGH RD,RD,7748,4121.235915
HIGH RD,RD,7749,450.8886173
JOSHUA SLOCUM AVE,AVE,7874,901.4723402
JOSLYN DR,DR,7875,581.0863445
ATKINS POINT RD,RD,6994,1892.286242
ATLANTIC VIEW DR,DR,6996,1103.637466
HOMER LANE,LANE,15720,550.9287835
INKPEN LANE,LANE,15722,167.9105065
MORSE LANE,LANE,15723,215.9954813
SUMMER LANE,LANE,15724,327.9480573
BIG LAKE DR,DR,7090,1220.798882
BIRCHPOND CRT,CRT,7091,203.1842752
BIRCH RD,RD,7092,421.5369553
BIRCH TREE LANE,LANE,7095,470.4403828
BIRCHDALE AVE,AVE,7096,254.5256253
BIRCHWOOD RD,RD,7109,624.7564819
CROUCHERS POINT RD,RD,7368,1024.388646
HEATHERGLEN DR,DR,16449,1947.734042
